user_id,session_id,X,Y,Pressure,Duration,Orientation,Size
user1,1,537,3,1.0,403.34,180,18.45
user1,1,692,1788,0.56,85.44,180,12.43
user1,1,979,1053,0.33,220.54,270,65.67
user1,1,1010,1417,0.18,368.11,180,15.76
user1,1,131,780,0.21,327.53,90,57.33
user1,1,701,1288,0.14,335.33,90,16.01
user1,1,226,173,0.41,259.14,180,54.46
user1,1,142,568,0.9,301.77,0,11.55
user1,1,275,233,0.52,365.74,0,64.88
user1,1,759,1155,1.0,297.33,90,49.31
user1,1,214,1238,0.88,62.92,90,54.29
user1,1,1,512,0.23,111.83,0,15.22
user1,1,537,510,0.52,247.87,270,46.66
user1,1,258,444,0.85,191.67,90,36.36
user1,1,64,1401,0.13,213.14,270,63.91
user1,1,195,1383,0.49,457.39,270,14.63
user1,1,222,1780,0.43,483.72,0,65.56
user1,1,902,452,0.53,458.43,270,38.67
user1,1,742,356,0.74,290.33,270,44.49
user1,1,1068,1248,0.49,324.23,0,18.3
user1,2,94,364,0.9,201.98,180,25.54
user1,2,913,561,0.72,97.43,90,38.57
user1,2,719,76,0.62,328.35,90,49.7
user1,2,690,87,0.22,368.87,180,12.74
user1,2,135,977,0.68,164.05,180,22.75
user1,2,810,411,0.31,439.03,0,65.11
user1,2,284,882,0.76,339.6,90,46.95
user1,2,560,696,0.64,296.9,180,27.2
user1,2,26,1141,0.36,74.07,180,45.26
user1,2,830,1443,0.56,206.0,180,79.59
user1,2,286,1182,0.7,344.23,0,26.39
user1,2,211,362,0.21,465.47,180,76.06
user1,2,604,1626,0.29,57.56,0,75.57
user1,2,427,829,0.38,167.75,0,27.12
user1,2,103,493,0.81,353.35,90,30.14
user1,2,332,376,0.57,132.13,90,17.55
user1,2,840,1438,0.44,136.65,270,12.15
user1,2,1016,200,0.64,113.81,0,52.12
user1,2,697,1220,0.18,179.93,0,40.61
user1,2,747,705,0.8,166.0,180,70.1
user1,3,348,1141,0.5,181.05,270,63.65
user1,3,581,1720,0.57,279.41,90,25.11
user1,3,602,1783,0.96,86.27,270,62.67
user1,3,936,364,0.91,68.32,270,13.02
user1,3,852,748,0.21,50.97,270,22.52
user1,3,996,907,0.48,301.56,270,76.39
user1,3,434,1604,0.8,354.38,0,18.12
user1,3,467,1139,0.18,382.52,0,60.11
user1,3,1001,1125,0.35,308.02,270,63.31
user1,3,466,258,0.82,359.55,0,29.21
user1,3,520,715,0.78,114.05,270,22.24
user1,3,515,1503,0.58,294.03,0,45.01
user1,3,76,1206,0.49,394.81,0,22.73
user1,3,907,1657,0.39,344.27,90,75.29
user1,3,137,1019,0.6,453.94,180,17.01
user1,3,976,788,0.91,281.46,270,11.75
user1,3,861,406,0.57,388.92,180,47.79
user1,3,704,770,0.86,97.58,0,23.87
user1,3,890,661,0.58,205.14,270,64.88
user1,3,500,1128,0.13,364.18,0,20.14
user1,4,1056,21,0.79,91.74,90,64.56
user1,4,1067,1208,0.88,88.92,270,46.24
user1,4,136,988,0.91,424.56,0,75.37
user1,4,710,506,0.82,393.64,180,65.24
user1,4,141,280,0.8,152.13,180,18.98
user1,4,907,879,0.6,247.4,180,26.43
user1,4,378,216,0.92,396.48,180,18.4
user1,4,755,941,0.85,315.94,270,40.77
user1,4,598,1269,0.91,299.95,270,52.25
user1,4,99,738,0.12,59.73,180,72.18
user1,4,550,1345,0.25,353.59,90,76.43
user1,4,56,282,0.42,187.22,270,24.13
user1,4,593,929,0.33,177.42,90,79.93
user1,4,135,761,0.41,111.44,90,31.81
user1,4,116,778,0.38,155.2,180,39.62
user1,4,535,493,0.14,218.26,90,34.24
user1,4,583,1888,0.69,180.5,0,52.47
user1,4,38,352,0.11,292.15,0,48.6
user1,4,251,668,0.75,464.57,270,79.31
user1,4,897,1052,0.23,222.88,90,50.07
user1,5,722,1673,0.21,406.88,270,79.93
